Reason for absence,Transportation ,Distance,Service time,Age,Work load Average/day ,Hit target,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month of absence_1,Month of absence_2,Month of absence_3,Month of absence_4,Month of absence_5,Month of absence_6,Month of absence_7,Month of absence_8,Month of absence_9,Month of absence_10,Month of absence_11,Month of absence_12,Seasons_2,Seasons_3,Seasons_4,Day of the week_3,Day of the week_4,Day of the week_5,Day of the week_6,Disciplinary failure_1,Education_2,Education_3,Education_4
26,1.011408382527098,0.4295556707626351,0.10176977190028948,-0.5328684513793733,-0.8182124148856444,0.6386858059484906,0.8937227672347112,1,0,0.19284982923718288,0.8516728860794676,-0.01904600815004067,0.7759322307140407,-0.21951111250831787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,-1.5443791549155688,-1.1216935370413217,1.2428247901762617,2.0928601496204373,-0.8182124148856444,0.6386858059484906,-0.01723432333510484,1,0,-0.5662399241432177,1.4730561108256406,0.9758278293344286,1.0094376600464487,-0.5197666083607304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,-0.6326654719681847,1.441239936721736,1.2428247901762617,0.2394046665617473,-0.8182124148856444,0.6386858059484906,-0.9281914139049204,1,0,-0.5662399241432177,0.773999982986196,-0.35067062064486365,1.0094376600464487,-0.36963886043452415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0.8619471230275269,-1.6612584788861755,0.32998077555548394,0.3938592901499717,-0.8182124148856444,0.6386858059484906,0.8937227672347112,1,1,-0.5662399241432177,-0.8571309819725084,-0.6822952331396865,-0.6251003452804047,-0.21951111250831787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1.011408382527098,0.4295556707626351,0.10176977190028948,-0.5328684513793733,-0.8182124148856444,0.6386858059484906,0.8937227672347112,1,0,0.19284982923718288,0.8516728860794676,-0.01904600815004067,0.7759322307140407,-0.36963886043452415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,-0.6326654719681847,1.441239936721736,1.2428247901762617,0.2394046665617473,-0.8182124148856444,0.6386858059484906,-0.9281914139049204,1,0,-0.5662399241432177,0.773999982986196,-0.35067062064486365,1.0094376600464487,-0.36963886043452415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2.08752945092401,1.5086855544523436,-2.1803402646516554,-1.3051415693204942,-0.8182124148856444,0.6386858059484906,-0.01723432333510484,1,0,2.4701190893783846,0.07494385514675142,-0.01904600815004067,0.07541594271681808,0.08074438334409471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0.5779707299783416,1.37379431899113,-0.3546522354100995,-0.06950458061470073,-0.8182124148856444,0.6386858059484906,2.7156369483743434,1,0,-0.5662399241432177,-1.0901496912523232,-0.6822952331396865,-0.8586057746128123,-0.21951111250831787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,-0.9913724947671556,-1.1891391547719283,0.32998077555548394,-0.378413827791149,-0.8182124148856444,0.6386858059484906,0.8937227672347112,1,0,-0.5662399241432177,1.2400374015458258,3.9604493417878373,-0.3915949159479972,2.4827883501633954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.20431758122941385,-1.2565847725025343,0.32998077555548394,0.08495004297352346,-0.8182124148856444,0.6386858059484906,-0.01723432333510484,0,0,0.19284982923718288,0.6963270798929243,-0.01904600815004067,0.5424268013816334,0.08074438334409471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
